Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-11-26,92.863,93.001,91.663,91.919,1739453
2019-11-27,92.096,92.509,90.758,91.486,673773
2019-11-28,91.486,91.722,90.541,90.856,354866
2019-11-29,90.856,91.387,90.679,91.387,520039
2019-12-02,92.096,92.096,88.731,89.991,936128
2019-12-03,89.538,89.892,87.748,87.807,660528
2019-12-04,88.456,89.459,86.41,87.059,621250
2019-12-05,87.079,87.964,85.741,86.213,777604
2019-12-06,78.599,82.259,76.337,80.783,3551424
2019-12-09,80.96,81.255,79.189,80.449,936459
2019-12-10,80.547,80.567,78.206,79.662,1250671
2019-12-11,80.035,81.255,79.406,80.252,718277
2019-12-12,80.665,82.632,80.134,82.593,1233443
2019-12-13,83.242,84.58,82.691,84.265,1163470
2019-12-16,84.403,84.403,82.259,82.298,784107
2019-12-17,82.337,83.537,81.904,83.164,995121
2019-12-18,83.518,83.695,82.259,82.927,708671
2019-12-19,83.026,84.01,82.868,83.951,837099
2019-12-20,84.069,84.482,82.534,82.731,1819191
2019-12-23,82.908,84.246,82.888,83.754,509883
2019-12-27,84.088,85.092,84.088,84.541,364434
2019-12-30,84.58,84.993,83.852,84.423,440568
2020-01-02,85.092,85.859,84.305,85.544,655362
2020-01-03,85.092,85.229,83.419,84.324,741274
2020-01-07,84.482,84.58,80.822,80.96,1583492
2020-01-08,80.685,81.295,79.976,80.212,803925
2020-01-09,81.354,83.321,80.96,83.282,1242244
2020-01-10,83.616,84.147,83.144,84.049,652730
2020-01-13,84.58,85.033,84.049,84.915,1421243
2020-01-14,84.619,85.033,83.164,83.99,2409919
2020-01-15,83.636,84.265,83.282,83.695,2288969
2020-01-16,84.029,84.6,83.439,84.187,1071080
2020-01-17,83.616,85.19,83.616,84.836,717283
2020-01-20,84.364,84.836,84.324,84.344,485056
2020-01-21,84.246,84.797,83.478,83.557,832653
2020-01-22,84.324,84.6,83.616,83.616,659092
2020-01-23,83.518,85.367,83.518,84.088,1488530
2020-01-24,84.462,85.092,84.128,84.128,598822
2020-01-27,83.419,84.069,81.235,81.235,984853
2020-01-28,81.649,81.865,79.858,80.291,1529442
2020-01-29,80.567,80.822,77.438,77.989,1591314
2020-01-30,74.763,76.71,73.582,74.763,1972274
2020-01-31,74.763,74.881,73.307,74.428,1696498
2020-02-03,74.251,74.369,70.651,71.811,2032884
2020-02-04,72.362,73.779,72.107,73.228,1085023
2020-02-05,73.287,75.589,72.697,75.373,1280322
2020-02-06,75.628,76.415,72.618,72.697,976912
2020-02-07,72.697,73.543,71.615,73.543,807452
2020-02-10,72.933,73.051,70.867,71.379,1656461
2020-02-11,71.32,72.795,69.824,72.677,2429280
2020-02-12,72.795,73.543,72.126,73.228,1146638
2020-02-13,73.189,73.366,71.516,73.366,629589
2020-02-14,73.779,75.412,73.779,74.763,1414264
2020-02-17,75.53,75.845,74.29,74.566,374660
2020-02-18,73.779,75.215,73.582,74.271,1245133
2020-02-19,74.271,74.546,72.067,72.244,1642549
2020-02-20,72.303,72.52,71.32,71.693,1323312
2020-02-21,71.359,72.52,71.261,72.107,870776
2020-02-24,70.926,71.143,68.25,68.664,1043561
2020-02-25,68.664,69.136,67.188,67.208,1448143
2020-02-26,67.168,67.522,64.827,65.516,1543343
2020-02-27,65.083,65.535,58.728,59.908,1404219
2020-02-28,58.531,58.787,54.144,57.685,3090225
2020-03-02,60.499,61.187,58.59,59.574,2071394
2020-03-03,60.794,61.778,59.633,61.246,1833953
2020-03-04,60.991,60.991,58.079,58.079,1724539
2020-03-05,59.417,59.613,55.639,55.934,1771476
2020-03-06,55.344,55.58,52.649,53.455,1815030
2020-03-09,49.186,55.206,48.478,53.357,3178920
2020-03-10,54.951,55.364,50.229,50.583,2239559
2020-03-11,50.878,51.626,45.349,45.713,2154124
2020-03-12,43.736,45.192,41.316,42.733,2411364
2020-03-13,43.677,50.543,42.713,44.936,2802910
2020-03-16,44.946,48.497,41.975,47.218,2982840
2020-03-17,48.832,50.662,46.727,48.655,2929913
2020-03-18,49.186,50.563,46.235,47.091,2134472
2020-03-19,47.71,49.875,46.943,49.678,1888948
2020-03-20,51.842,52.806,50.839,51.724,3586229
2020-03-23,51.153,52.511,48.31,48.91,1402558
2020-03-24,51.645,51.744,48.851,49.284,1571265
2020-03-25,51.567,51.606,48.871,50.366,1364742
2020-03-26,49.875,52.039,49.284,52.039,1544174
2020-03-27,52.039,52.452,50.583,51.094,1725338
2020-03-30,51.508,52.472,49.894,51.626,1488715
2020-03-31,52.137,54.793,51.508,54.793,2861580
2020-04-01,53.121,55.029,52.137,54.675,1984324
2020-04-02,57.134,61.64,56.465,59.22,4229846
2020-04-03,60.007,62.801,58.61,59.869,7632254
2020-04-06,62.21,62.958,60.518,62.761,2423839
2020-04-07,63.745,66.814,63.745,63.843,2719843
2020-04-08,64.138,65.339,62.171,63.745,2204738
2020-04-09,64.827,65.496,62.171,63.804,2043737
2020-04-14,64.925,65.004,62.997,64.001,2548104
2020-04-15,64.532,64.532,60.912,60.991,1858152
2020-04-16,59.358,60.341,58.236,59.023,3293472
2020-04-17,60.499,60.774,59.181,60.243,2225033
2020-04-20,60.991,61.404,59.259,60.892,1748798
2020-04-21,60.204,60.204,57.252,58.039,1271119
2020-04-22,58.039,60.302,56.583,59.869,1596594
2020-04-23,60.499,60.794,59.495,60.459,1493083
2020-04-24,60.105,60.499,59.771,59.849,921970
2020-04-27,60.479,60.479,57.548,58.472,1126987
2020-04-28,58.649,60.302,57.292,59.535,1156533
2020-04-29,60.027,60.971,58.846,60.42,1726167
2020-04-30,60.971,62.368,60.695,61.345,2532488
2020-05-04,60.145,60.282,58.472,58.551,1374166
2020-05-05,58.826,60.164,58.826,59.515,1351262
2020-05-06,59.023,59.023,56.583,57.587,3529463
2020-05-07,57.764,60.243,56.859,59.869,1490853
2020-05-08,60.381,62.171,60.066,61.797,1348932
2020-05-11,61.797,62.683,61.089,61.896,914271
2020-05-12,61.974,63.942,61.699,63.489,1436871
2020-05-13,63.155,63.292,61.187,61.719,1157521
2020-05-14,61.423,61.719,58.905,60.381,1469491
2020-05-15,61.325,61.876,59.397,59.672,978879
2020-05-18,60.597,63.548,60.499,63.411,1445821
2020-05-19,64.197,64.532,62.525,62.761,1381698
2020-05-20,62.368,63.843,62.014,63.509,1397284
2020-05-21,63.194,63.411,62.25,62.643,830948
2020-05-22,62.368,62.505,61.482,61.482,627154
2020-05-25,62.25,62.742,61.856,62.033,202277
2020-05-26,63.155,65.398,62.86,64.788,1278428
2020-05-27,65.221,68.368,64.925,65.457,1864327
2020-05-28,65.457,67.562,64.63,66.362,1262536
2020-05-29,65.909,66.086,64.197,65.673,2458221
2020-06-01,66.696,66.893,65.417,66.598,620535
2020-06-02,66.637,66.893,65.221,66.696,1649213
2020-06-03,66.893,68.408,66.716,67.64,1565957
2020-06-04,67.64,67.975,66.735,67.719,1215949
2020-06-05,67.818,72.205,67.759,71.497,2498059
2020-06-08,71.811,72.303,69.923,70.434,1657410
2020-06-09,70.336,70.611,67.955,68.388,1506614
2020-06-10,68.565,69.352,67.955,68.742,1559233
2020-06-12,65.909,66.755,63.45,65.28,1903215
2020-06-15,64.375,64.375,61.679,61.719,1668951
2020-06-16,63.076,66.165,63.076,65.417,1521747
2020-06-17,65.909,66.106,63.961,65.024,1642929
2020-06-18,65.024,65.771,63.745,64.827,1614403
2020-06-19,65.378,65.811,64.394,65.162,6270655
2020-06-22,65.221,65.221,63.942,64.06,800170
2020-06-23,64.729,66.263,64.709,65.299,977437
2020-06-24,65.319,65.339,63.037,63.037,1035996
2020-06-25,62.958,64.296,61.738,63.568,1178582
2020-06-26,63.942,64.552,62.545,62.683,767375
2020-06-29,62.683,63.548,61.227,62.565,1050609
2020-06-30,62.761,63.037,61.148,61.6,1187145
2020-07-01,61.974,62.289,60.794,62.25,879307
2020-07-02,62.584,63.745,62.407,62.486,1293328
2020-07-03,62.86,62.879,61.522,62.407,450212
2020-07-06,63.647,63.824,61.974,62.958,1228984
2020-07-07,62.958,62.958,62.073,62.289,788408
2020-07-08,62.132,62.191,60.223,60.754,1853146
2020-07-09,60.991,61.168,59.869,60.204,1179650
2020-07-10,60.007,60.44,59.023,60.42,867533
